London Borough,1998,2018,Ratio
Barking & Dagenham,60285.821083333336,295196.67361166666,0.20422256235393685
Barnet,122359.46803333331,533266.534055,0.22945274120785797
Bexley,80632.02082166668,342603.6056541667,0.2353507654063011
Brent,100692.59041666666,492845.37125250004,0.2043086864360114
Bromley,108286.52046666665,443409.985635,0.24421308489837312
Camden,170688.97393333333,842410.4093608333,0.20261973503252542
Croydon,88143.22883,370298.5433200001,0.23803288028014047
Ealing,111343.15465,480050.54456083337,0.23194048191708755
Enfield,93030.22432166668,396631.71780166664,0.23455064269011863
Greenwich,81532.93336583335,388344.32512583333,0.20995010893854218
Hackney,87869.53580416668,544640.4750275,0.16133493530705734
Hammersmith & Fulham,175340.92125,725525.3311399999,0.24167443054605853
Haringey,107419.85010833334,551560.64401,0.19475619095546956
Harrow,114778.25006666667,465907.4632525,0.24635417785626296
Havering,85602.08797749999,370248.75077,0.23120155787014757
Hillingdon,97676.04895166667,410266.07901,0.23807975835429931
Hounslow,99746.06968249999,396631.1797875,0.25148317824115635
Islington,134148.97329999998,649824.0675333334,0.20643891170300285
Kensington & Chelsea,268350.12214166665,1363880.1212666666,0.19675491852791563
Kingston upon Thames,116399.76915833335,497090.97848000005,0.23416190234282552
Lambeth,103179.11894333333,511536.3969916667,0.20170435486140822
Lewisham,75539.05164916666,411628.98966833326,0.1835124676472171
Merton,108049.85511666664,512293.89456999995,0.21091380604361798
Newham,67671.2707625,359022.5127766666,0.18848754146121072
Redbridge,94514.39582166668,422591.065915,0.2236545053715767
Richmond upon Thames,162956.066025,652665.42632,0.24967779731157863
Southwark,91405.18777916666,504235.3749449999,0.18127484171283462
Sutton,92087.04592083335,379262.58058166667,0.24280551426824518
Tower Hamlets,96505.16640666667,446500.55378500005,0.2161367227623553
Waltham Forest,75557.47413166666,440859.4111275,0.1713867782439487
Wandsworth,125406.80723333335,596649.1390441667,0.2101851809159322
Westminster,190531.94994166665,1020025.2533933334,0.18679140473024677
